15-11-2021 22-55-07,16.0 kph,83 degC
15-11-2021 22-55-07,20.0 kph,83 degC
15-11-2021 22-55-07,24.0 kph,83 degC
15-11-2021 22-55-07,28.0 kph,83 degC
15-11-2021 22-55-07,32.0 kph,83 degC
15-11-2021 22-55-08,36.0 kph,83 degC
15-11-2021 22-55-08,40.0 kph,83 degC
15-11-2021 22-55-08,44.0 kph,83 degC
15-11-2021 22-55-08,48.0 kph,83 degC
15-11-2021 22-55-08,52.0 kph,83 degC
15-11-2021 22-55-08,56.0 kph,83 degC
15-11-2021 22-55-08,60.0 kph,83 degC
15-11-2021 22-55-08,64.0 kph,83 degC
15-11-2021 22-55-08,68.0 kph,83 degC
15-11-2021 22-55-08,72.0 kph,83 degC
15-11-2021 22-55-08,76.0 kph,83 degC
15-11-2021 22-55-08,80.0 kph,83 degC
15-11-2021 22-55-08,84.0 kph,83 degC
15-11-2021 22-55-08,88.0 kph,83 degC
15-11-2021 22-55-08,92.0 kph,83 degC
15-11-2021 22-55-08,96.0 kph,83 degC
15-11-2021 22-55-08,100.0 kph,83 degC
15-11-2021 22-55-08,104.0 kph,83 degC
15-11-2021 22-55-08,108.0 kph,83 degC
15-11-2021 22-55-08,112.0 kph,83 degC
15-11-2021 22-55-08,116.0 kph,83 degC
15-11-2021 22-55-08,120.0 kph,83 degC
15-11-2021 22-55-08,116.0 kph,83 degC
15-11-2021 22-55-08,112.0 kph,83 degC
15-11-2021 22-55-08,108.0 kph,83 degC
15-11-2021 22-55-08,104.0 kph,83 degC
15-11-2021 22-55-08,100.0 kph,83 degC
15-11-2021 22-55-08,96.0 kph,83 degC
15-11-2021 22-55-08,92.0 kph,83 degC
15-11-2021 22-55-08,88.0 kph,83 degC
15-11-2021 22-55-08,84.0 kph,83 degC
15-11-2021 22-55-08,80.0 kph,83 degC
15-11-2021 22-55-08,76.0 kph,83 degC
15-11-2021 22-55-08,72.0 kph,83 degC
15-11-2021 22-55-08,68.0 kph,83 degC
15-11-2021 22-55-08,64.0 kph,83 degC
15-11-2021 22-55-08,60.0 kph,83 degC
15-11-2021 22-55-08,56.0 kph,83 degC
15-11-2021 22-55-08,52.0 kph,83 degC
15-11-2021 22-55-08,48.0 kph,83 degC
15-11-2021 22-55-08,44.0 kph,83 degC
15-11-2021 22-55-08,40.0 kph,83 degC
15-11-2021 22-55-08,36.0 kph,83 degC
15-11-2021 22-55-08,32.0 kph,83 degC
15-11-2021 22-55-08,28.0 kph,83 degC
15-11-2021 22-55-08,24.0 kph,83 degC
15-11-2021 22-55-08,20.0 kph,83 degC
15-11-2021 22-55-08,16.0 kph,83 degC
15-11-2021 22-55-08,12.0 kph,83 degC
15-11-2021 22-55-08,8.0 kph,83 degC
15-11-2021 22-55-08,4.0 kph,83 degC
15-11-2021 22-55-08,0.0 kph,83 degC
15-11-2021 22-55-08,4.0 kph,83 degC
15-11-2021 22-55-09,8.0 kph,83 degC
15-11-2021 22-55-09,12.0 kph,83 degC
15-11-2021 22-55-09,16.0 kph,83 degC
15-11-2021 22-55-09,20.0 kph,83 degC
15-11-2021 22-55-09,24.0 kph,83 degC
15-11-2021 22-55-09,28.0 kph,83 degC
15-11-2021 22-55-09,32.0 kph,83 degC
15-11-2021 22-55-09,36.0 kph,83 degC
15-11-2021 22-55-09,40.0 kph,83 degC
15-11-2021 22-55-09,44.0 kph,83 degC
15-11-2021 22-55-09,48.0 kph,83 degC
15-11-2021 22-55-09,52.0 kph,83 degC
15-11-2021 22-55-09,56.0 kph,83 degC
15-11-2021 22-55-09,60.0 kph,83 degC
15-11-2021 22-55-09,64.0 kph,83 degC
15-11-2021 22-55-09,68.0 kph,83 degC
15-11-2021 22-55-09,72.0 kph,83 degC
15-11-2021 22-55-09,76.0 kph,83 degC
15-11-2021 22-55-09,80.0 kph,83 degC
15-11-2021 22-55-09,84.0 kph,83 degC
15-11-2021 22-55-09,88.0 kph,83 degC
15-11-2021 22-55-09,92.0 kph,83 degC
15-11-2021 22-55-09,96.0 kph,83 degC
15-11-2021 22-55-09,100.0 kph,83 degC
15-11-2021 22-55-09,104.0 kph,83 degC
15-11-2021 22-55-09,108.0 kph,83 degC
15-11-2021 22-55-09,112.0 kph,83 degC
15-11-2021 22-55-09,116.0 kph,83 degC
15-11-2021 22-55-09,120.0 kph,83 degC
15-11-2021 22-55-09,116.0 kph,83 degC
15-11-2021 22-55-09,112.0 kph,83 degC
15-11-2021 22-55-09,108.0 kph,83 degC
15-11-2021 22-55-09,104.0 kph,83 degC
15-11-2021 22-55-09,100.0 kph,83 degC
15-11-2021 22-55-09,96.0 kph,83 degC
15-11-2021 22-55-09,92.0 kph,83 degC
15-11-2021 22-55-09,88.0 kph,83 degC
15-11-2021 22-55-09,84.0 kph,83 degC
15-11-2021 22-55-09,80.0 kph,83 degC
15-11-2021 22-55-09,76.0 kph,83 degC
15-11-2021 22-55-09,72.0 kph,83 degC
15-11-2021 22-55-09,68.0 kph,83 degC
